usdot_number,prefix,docket_number,legal_name,dba_name,city,state
2067183OOS,MC,722811,3R EXPRESS LLC,,RIDGEFIELD,NJ
3202907,MC,188324,3R LOGISTICS GROUP LLC,,PARAMUS,NJ
3892359,MC,1431406,3R TRANSPORTATION LLC,,NEWARK,NJ
3770134,MC,1345494,3R TRUCKING LLC,,KEARNY,NJ
3589397,MC,1287415,3RD EYE TRUCKING LLC,,PLEASANTVILLE,NJ
,FF,46890,3RD EYE TRUCKING LLC,,PLEASANTVILLE,NJ
3694682OOS,MC,1290352,3RD GEN AUTO DETAILING LLC,,BLOOMFIELD,NJ
736224,MC,335916,"3RD GENERATION LIMO, INC.",,LINCOLN PARK,NJ
3508531,MC,1160537,3RD GENERATION SUCCESS LLC,SAY WAY LOGISTICS,MAYS LANDING,NJ
3213954,MC,1004308,3RD GENERATION TRANSPORTATION SERVICES INC,,S PLAINFIELD,NJ
,MC,562727,3RD GENERATION TRUCKING CO,,CARLSTADT,NJ
3806668OOS,MC,1372171,3RD PARTY FREIGHT INC,,SAYREVILLE,NJ
3745712,MC,1327671,3RD WORLD TRANSPORTATION LLC,,PASSAIC,NJ
3601143,MC,1223247,3SONS TRUCKING LLC,,JERSEY CITY,NJ
3601143,FF,47520,3SONS TRUCKING LLC,,JERSEY CITY,NJ
3013683,MC,30498,3T TOMMYS TRUCKING TRANSPORTATION LLC,,FAIRVIEW,NJ
3741704,MC,1324776,3TK TRANSPORTATION LLC,,EAST ORANGE,NJ
4033335,MC,1524363,3TM TRANSPORT SERVICES LLC,JENDOR TRANSPORT SERVICES,MAPLEWOOD,NJ
3859378,MC,1409340,3YR TRANSPORT LLC,,PERTH AMBOY,NJ
3281149,MC,1037407,4 BRO TRANSPORT LLC,,MAYS LANDING,NJ
2521799,MC,875521,4 BROTHERS MOVING SERVICE LLC,,GARFIELD,NJ
3114303,,,,,,
2252909,,,,,,
,MC,210705,"4 SEASONS, INC.",,EAST RUTHERFORD,NJ
1714874,MC,843185,4 SUNNS INC,,JERSEY CITY,NJ
4139363,MC,842601,4 ZONE LOGISTICS INC,,WILLIAMSTOWN,NJ
2377319OOS,MC,819099,4-A TRUCKING INC,,MONROE,NJ
3685541,MC,1283642,4-FOUNDERS EXPORT,,CAMDEN,NJ
584042,MC,282982,"4-K TRUCKING, INC.",,RANDOLPH,NJ
3563845,MC,1197965,4-M TRUCKING SERVICES LLC,,UNION,NJ
1422498,MC,541782,4-PS LAND IMPROVEMENT LLC,,PEDRICKTOWN,NJ
3640791,MC,1250970,40 TON TRUCKING LLC,,HOBOKEN,NJ
2971483OOS,MC,82721,40MF ENTERPRISE CORP,,NORTH BERGEN,NJ
3825003,MC,1385433,413 TRANSPORT SERVICES LLC,,WOODBURY,NJ
4222164,MC,1632138,42 LOAD CORP,,WEST NEW YORK,NJ
346051,MC,217502,421 CORPORATION,DEGARMO TRANSPORTATION,CHERRY HILL,NJ
2311695OOS,MC,789176,422 LOGISTICS,,LINDEN,NJ
3200145,MC,,,,,
1489679,MC,562083,444 VENTURES LLC,,HILLSBOROUGH,NJ
3674816,MC,1275711,45 B TRUCKING LLC,,PROSPECT PARK,NJ
773827,MC,469085,46 AUTO REPAIR INC,46 AUTO AND TRUCK REPAIR,RIDGEFIELD,NJ
4157385,MC,1597087,46 TRANSPORT LLC,,LONG BRANCH,NJ
3313990OOS,MC,1053212,47 TRANSPORT LLC,,MATAWAN,NJ
4123170,MC,1577359,48 LINE TRUCKING LLC,,JERSEY CITY,NJ
4147982,MC,1591771,48 PLUS EXPRESS DELIVERY LLC,,CLIFTON,NJ
2800304,MC,935720,48 POINT SUPER EXPRESS LLC,,CAMDEN,NJ
249623,MC,171960,48 STATE TRUCKING CORP.,,SECAUCUS,NJ
3724072,MC,1311978,496 EAST HOLDINGS LLC,,PATERSON,NJ
2951507,MC,999429,4A HERNANDEZ LOGISTICS LLC,4A LOGISTICS,WEST MILFORD,NJ
3723676,MC,1311688,4ACE LOGISTIC LLC,,PENNSAUKEN,NJ
3350951,MC,1148543,4BG LOGISTICS LLC,,PATERSON,NJ
3500852,MC,1155441,4BOSSES LLC,,CAMDEN,NJ
3902363OOS,MC,1439989,4BRO'S TRANSPORTATION LLC,,UNION,NJ
3824951,MC,1385394,4C EXPRESS LLC,,ELIZABETH,NJ
3605338,MC,1226094,4D TRANSPORTATION LLC,,GARFIELD,NJ
3683238,MC,1293709,4D&P LOGISTICS LLC,,JERSEY CITY,NJ
3549099,MC,1187915,4D'S TRANSPORT LLC,,EDISON,NJ
3560405,MC,1195596,4EVER LOGISTICS LLC,,RED BANK,NJ
4088930,MC,1557217,4EVER MOBILE TRANSPORT LLC,,SICKLERVILLE,NJ
2876299,MC,965245,4G TRUCKING LLC,,PERTH AMBOY,NJ
4047438,MC,1532935,4JAYS TRUCKING LLC,,BAYONNE,NJ
2843553,MC,952833,4JS ENTERPRISES CORP,,ELIZABETH,NJ
3198436,MC,157423,4JS EXPRESS LLC,,NEWARK,NJ
3750394OOS,MC,1331653,4K GLOBAL LOGISTICS LLC,,BLOOMFIELD,NJ
3379919OOS,MC,1084634,4K TRUCKING LLC,,PATERSON,NJ
3848463,MC,1401970,4KD TRUCKING LLC,,IRVINGTON,NJ
3575287,MC,1205729,4LEAF TRUCKING LLC,,IRVINGTON,NJ
3637285,MC,1248515,4MATIK LOGISTICS LLC,,EDISON,NJ
3331944,MC,1063161,4SMITHS LLC,,NEWARK,NJ
4092277,MC,1559252,4T BROTHERS LLC,,EAST ORANGE,NJ
3843456,MC,1398506,4TH QUARTER LOGISTICS GROUP LLC,,PLAINFIELD,NJ
3438502,MC,1116098,4TH WARD TRUCKING LLC,,RAHWAY,NJ
3645199,MC,,,,,
2815317,MC,938658,4X4 TRUCKING LLC,,IRVINGTON,NJ
3639314,MC,1525906,5 A CONSTRUCTION AND TRANSPORT LLC,,BRIDGETON,NJ
3042958OOS,MC,45653,5 BROTHERS DESIGNERS SOLUTION LLC,,UNION CITY,NJ
3976281,MC,1487396,5 BROTHERS TREATS LLC,MIDNIGHT EXPRESS TRUCKING,GLASSBORO,NJ
4128091,MC,1580183,5 BROTHERS TRUCKING LLC,,ELIZABETH,NJ
,MC,144808,"5 BROTHERS, INC.",,WOODRIDGE,NJ
,MC,149508,"5 BROTHERS, INC.",,WOODRIDGE,NJ
3994272,MC,1499331,5 CHILDREN LOGISTICS LLC,,UNION,NJ
883885,MC,386710,5 D'S TRUCKING INC.,,MAPLE SHADE,NJ
3862337,MC,1412888,5 GOLDEN PILLARS TRUCKING LLC,,NEWARK,NJ
3747797OOS,MC,1329213,5 KARAT TRANSPO LLC,,CAMDEN,NJ
2546615,MC,890478,5 PRINCIPLES ENTERPRISE LLC,,KEARNY,NJ
3329407,MC,1060729,5 RIVERS LOGISTICS LLC,,BURLINGTON,NJ
3587151,MC,1213704,5 RIVERS TRUCKING LLC,,ROSELLE PARK,NJ
3262879,MC,1028842,5 SPIRITS TRANSPORT LLC,,HASBROUCK HTS,NJ
2097614OOS,MC,732454,5 STAR AUTO REPAIR LLC,,RIVERSIDE,NJ
3728229,MC,1315005,5 STAR DELIVERY CORP,,CLIFTON,NJ
3865835,MC,1413768,5 STAR EXPEDITING LLC,,BLOOMFIELD,NJ
4024332,MC,1518760,5 STAR FREIGHT,,ATCO,NJ
4162099,MC,1599551,5 STAR MOVING AND STORAGE INC,,CARLSTADT,NJ
2812766,MC,937809,5 STAR SERVICES LLC,,FORDS,NJ
3773418,MC,1347993,5 STAR TRANSPORTATION & ROADSIDE SERVICES LLC,,PATERSON,NJ
2453867OOS,MC,847270,5 STAR TRANSPORTATION LLC,,SEWELL,NJ
3760921,MC,1338862,5 STAR TRANSPORTATION SERVICE LLC,,MIDDLESEX,NJ
2838999,MC,950474,5 STAR TRUCKING LLC,,EGG HBR TWP,NJ
,MC,604197,5 STARR XPRESS LIMITED LIABILTY COMPANY,,MAPLEWOOD,NJ
4009873,MC,1509476,5 STARS LOGISTICS LLC,,MOUNT HOLLY,NJ
3681738,MC,1280912,5 STARS TRANSPORT LLC,,ROSELAND,NJ
3653462,MC,1260186,5 STARS TRANSPORTATION CORP,,FORDS,NJ
3548154,MC,1187287,5 WAYS CORP,,NEW BRUNSWICK,NJ
4045605,MC,1531883,50000 ZEBRA INC,,NEWARK,NJ
3015619,MC,31526,502 TRUCKING LLC,,CLIFTON,NJ
2041483,MC,137385,503 EXPRESS LLC,,RIDGEFIELD,NJ
3697109,MC,1292132,503 LEGACY TRANSPORTATION LLC,,FAIRVIEW,NJ
3802513,MC,1369212,503 TRUCKING LLC,,RIDGEFIELD,NJ
3678394,MC,1278331,506 TRANSPORT CORP,,MANVILLE,NJ
2393752,MC,822902,506 TRUCKING LLC,,MANVILLE,NJ
3657736,MC,1263318,509 LAKWA TRANSPORTATION S LLC,,TRENTON,NJ
3644658OOS,MC,1253860,51 STATES LOGISTICS CORP,,MANALAPAN,NJ
3776043,MC,1349963,514 WASHINGTON AVENUE LLC,,NEWARK,NJ
3959670,,,,,,
4063479,MC,1542274,5A LOGISTICS LLC,,CLIFTON,NJ
1561141,MC,579054,5A POWER INC,,HASBROUCK HEIGHTS,NJ
3796290,MC,1364631,5BORO SOIL SERVICES CORP,,LAFAYETTE,NJ
4056824,MC,1538498,5GOLD TRANSPORTATION LLC,,TRENTON,NJ
3683435,MC,1282130,5IVE TRANSPORTATION LLC,,CARTERET,NJ
3509376,MC,1161087,5J & C TRUCKING LLC,,OAKLAND,NJ
2534665OOS,MC,881233,5P TRUCKING LLC,,RAHWAY,NJ
3457978,MC,1127799,5R TRUCKING CORP,,ELIZABETH,NJ
2989156,MC,20187,5STAR INDUSTRIES INC,,KEARNY,NJ
3652156,MC,1364436,5TH AVENUE DISTRIBUTION LLC,,FAIR LAWN,NJ
